ANO,COD_MUNICIPIO,NOME_MUNICIPIO,DEPENDENCIA_ADM,MEDIA_GERAL_CN,MEDIA_GERAL_CH,MEDIA_GERAL_LC,MEDIA_GERAL_MT,MEDIA_GERAL_REDACAO,MEDIA_CN_F,MEDIA_CH_F,MEDIA_LC_F,MEDIA_MT_F,MEDIA_REDACAO_F,MEDIA_CN_M,MEDIA_CH_M,MEDIA_LC_M,MEDIA_MT_M,MEDIA_REDACAO_M,TAXA_APROVACAO_3S,NOTA_SAEB_MT,NOTA_SAEB_LC,IDEB,PIB_MUNICIPIO,PIB_PER_CAPITA,VALOR_ADM_PUBLICA,ACESSO_A_INTERNET(%),ALUNOS_COM_ACESSO_A_INTERNET(%),ESCOLAS_COM_LABORATÓRIO_DE_INFORMÁTICA(%),ESCOLAS_COM_DESKTOP_PARA_ALUNOS(%),ESCOLAS_COM COMPUTADOR_PORTATIL_PARA_ALUNOS(%),ESCOLAS_COM_TABLET_PARA _ALUNOS(%),ESCOLAS_COM_EQUIPAMENTOS_PARA_ACESSO_A_INTERNET_DOS_ALUNOS(%),ESCOLAS_COM_ATENDIMENTO_EDUCACIONAL_ESPECIALIZADO(%),ESCOLAS_COM_EJA_NO_ENSINO_MEDIO(%),TOTAL_DE_ESCOLAS_POR_DEPENDENCIA
2017,2503001,Caaporã,2,465.8,463.48,449.7,462.05,413.59,461.27,455.85,442.73,438.85,441.92,470.42,471.26,456.79,485.69,384.71,93.1,235.15,232.88,2.9,322158.979,14729.29,122743.854,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2503001,Caaporã,3,495.85,452.6,484.6,493.05,330.0,479.4,353.9,452.5,371.0,0.0,512.3,551.3,516.7,615.1,660.0,93.1,235.15,232.88,2.9,322158.979,14729.29,122743.854,,,,,,,,,,
2017,2503100,Cabaceiras,2,481.83,512.81,489.02,512.53,522.67,475.94,502.57,487.1,485.95,520.0,492.01,530.5,492.33,558.44,527.27,94.1,288.27,277.4,4.2,48284.762,8668.72,27008.414,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2503209,Cabedelo,1,524.58,533.53,531.38,529.87,595.69,527.17,534.11,537.66,515.12,617.22,521.36,532.82,523.58,548.18,568.97,100.0,255.19,270.7,4.3,2895697.258,42563.13,404552.426,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2503209,Cabedelo,2,462.73,471.34,471.53,467.52,455.88,458.94,469.18,474.99,457.64,476.81,468.01,474.34,466.7,481.3,426.67,74.5,227.58,231.43,2.2,2895697.258,42563.13,404552.426,80.0,0.0,40.0,0.0,0.0,0.0,0.0,60.0,40.0,5
2017,2503209,Cabedelo,3,474.28,427.68,418.4,465.42,205.0,463.7,431.65,393.4,436.65,190.0,484.85,423.7,443.4,494.2,220.0,77.3,231.89,237.57,2.7,2895697.258,42563.13,404552.426,,,,,,,,,,
2017,2503308,Cachoeira dos Índios,2,489.71,482.59,459.04,467.46,455.0,466.8,466.67,455.48,448.38,436.3,519.17,503.05,463.61,491.99,479.05,81.2,240.82,225.54,2.1,109478.787,10665.25,46513.822,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1
2017,2503407,Cacimba de Areia,2,451.91,463.05,452.97,467.37,455.38,450.97,449.84,451.21,452.71,428.33,452.71,474.36,454.47,479.93,478.57,100.0,237.78,237.06,3.5,33111.208,8832.01,20705.795,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2503506,Cacimba de Dentro,2,466.81,473.47,485.54,482.16,529.44,464.65,471.21,493.03,480.05,541.45,470.31,477.11,473.42,485.57,510.0,76.5,239.62,250.98,2.9,123893.584,7221.59,77787.662,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,2
2017,2503555,Cacimbas,2,463.93,471.94,435.74,463.32,467.78,467.47,449.05,410.44,433.22,418.18,458.36,507.9,475.51,510.63,545.71,96.5,229.64,232.7,3.1,47318.437,6587.56,32398.254,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2503605,Caiçara,2,467.46,487.62,475.46,463.5,493.33,466.53,489.07,476.82,450.84,477.5,469.32,484.71,472.74,488.83,525.0,93.5,249.6,239.32,2.7,59332.587,8146.72,33671.789,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2503704,Cajazeiras,1,557.31,578.76,549.64,604.72,640.15,546.26,575.4,553.25,582.27,660.68,565.89,581.36,546.84,622.15,624.21,96.2,333.63,325.43,5.7,1096132.93,17626.4,284604.775,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,2
2017,2503704,Cajazeiras,2,483.11,482.39,476.81,476.43,504.59,475.2,477.63,473.99,468.99,514.52,496.92,490.72,481.73,489.43,487.25,85.8,254.74,257.05,3.0,1096132.93,17626.4,284604.775,100.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,80.0,5
2017,2503753,Cajazeirinhas,2,452.35,451.7,445.71,480.77,533.33,443.04,442.91,432.74,468.44,530.0,465.39,464.01,463.87,498.04,538.0,100.0,265.87,251.86,3.9,30467.566,9530.05,19592.066,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2503803,Caldas Brandão,2,487.04,484.04,487.81,464.02,561.54,479.02,495.74,487.46,444.17,583.75,499.86,465.33,488.38,495.78,526.0,84.4,228.31,231.02,2.6,65965.571,10948.64,30496.683,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,2
2017,2503902,Camalaú,2,459.62,466.05,463.66,474.79,473.33,458.23,453.48,470.41,478.19,455.0,462.41,491.21,450.15,467.97,510.0,95.5,257.37,262.28,3.7,59380.936,9863.94,29727.399,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2504009,Campina Grande,1,560.0,583.39,554.69,598.79,675.67,534.95,560.64,546.91,560.19,667.01,580.52,602.03,561.06,630.42,682.77,95.6,331.69,322.6,5.0,8650089.384,21080.71,1821500.274,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2504009,Campina Grande,2,490.71,497.51,494.84,489.16,540.23,484.0,489.29,493.79,475.56,553.13,499.99,508.89,496.29,507.99,522.37,84.3,261.47,266.03,3.3,8650089.384,21080.71,1821500.274,87.5,0.0,84.38,0.0,0.0,0.0,0.0,34.38,81.25,32
2017,2504009,Campina Grande,3,461.54,520.14,463.58,444.92,440.0,438.95,512.83,449.05,448.15,425.0,551.9,549.4,521.7,432.0,500.0,84.9,265.43,269.22,3.4,8650089.384,21080.71,1821500.274,,,,,,,,,,
2017,2504033,Capim,2,473.58,458.48,470.3,448.44,460.0,458.49,439.67,461.75,437.47,458.18,528.92,527.45,501.65,488.63,466.67,89.3,232.75,230.03,2.9,60047.501,9164.76,33584.252,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2504033,Capim,3,460.75,443.15,491.05,441.05,350.0,,,,,,460.75,443.15,491.05,441.05,350.0,89.3,232.75,230.03,2.9,60047.501,9164.76,33584.252,,,,,,,,,,
2017,2504074,Caraúbas,2,485.87,474.79,476.51,453.92,466.25,467.35,464.36,463.2,437.2,447.27,526.6,497.74,505.8,490.7,508.0,96.9,248.71,254.15,3.6,34691.303,8317.26,22568.927,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2504108,Carrapateira,2,455.72,447.3,438.7,452.95,480.0,473.3,449.4,442.87,410.2,440.0,403.0,441.0,426.2,581.2,600.0,71.4,251.35,251.73,2.7,25578.931,9590.9,17861.402,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2504157,Casserengue,2,471.27,441.92,455.61,441.56,400.0,466.61,441.98,458.15,438.13,396.25,508.55,441.5,435.25,469.0,430.0,89.1,228.45,225.58,2.0,59294.295,7931.29,37478.378,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
